Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
buffalo-metal-20x40,Buffalo Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Video Ads,United States,SEVERITY_DISAPPROVED
buffalo-metal-20x40,Buffalo Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads,United States,SEVERITY_DISAPPROVED
buffalo-metal-20x40,Buffalo Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Shopping ads,United States,SEVERITY_DISAPPROVED
buffalo-metal-20x40,Buffalo Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Free listings,United States,SEVERITY_DISAPPROVED
buffalo-metal-20x40,Buffalo Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
rainbowstorm-metal-20x40,Rainbowstorm Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-metal-20x40,Rainbowstorm Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
rainbowstorm-metal-20x40,Rainbowstorm Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
rainbowstorm-metal-20x40,Rainbowstorm Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
rainbowstorm-metal-20x40,Rainbowstorm Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
utahbigarch-acrylic-20x40,Utahbigarch Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
utahbigarch-acrylic-20x40,Utahbigarch Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
